"gene","uniprot","name","description","namespace"
"AATF","Q9NY61","AATF","apoptosis antagonizing transcription factor [Source:HGNC Symbol;Acc:HGNC:19235]","ENTREZGENE,GENECARDS,HGNC,UNIPROT_GN,WIKIGENE"
"ABL1","P00519","ABL1","ABL proto-oncogene 1, non-receptor tyrosine kinase [Source:HGNC Symbol;Acc:HGNC:76]","ENTREZGENE,GENECARDS,HGNC,UNIPROT_GN,WIKIGENE"
"ABRAXAS2","Q15018","ABRAXAS2","abraxas 2, BRISC complex subunit [Source:HGNC Symbol;Acc:HGNC:28975]","ENTREZGENE,GENECARDS,HGNC,UNIPROT_GN,WIKIGENE"
"ACTR2","P61160","ACTR2","actin related protein 2 [Source:HGNC Symbol;Acc:HGNC:169]","ENTREZGENE,GENECARDS,HGNC,UNIPROT_GN,WIKIGENE"
"ACTR3","P61158","ACTR3","actin related protein 3 [Source:HGNC Symbol;Acc:HGNC:170]","ENTREZGENE,GENECARDS,HGNC,UNIPROT_GN,WIKIGENE"
"ACTR8","Q9H981","ACTR8","actin related protein 8 [Source:HGNC Symbol;Acc:HGNC:14672]","ENTREZGENE,GENECARDS,HGNC,UNIPROT_GN,WIKIGENE"
"AHCTF1","Q8WYP5","AHCTF1","AT-hook containing transcription factor 1 [Source:HGNC Symbol;Acc:HGNC:24618]","ENTREZGENE,GENECARDS,HGNC,UNIPROT_GN,WIKIGENE"
"AHR","P35869","AHR","aryl hydrocarbon receptor [Source:HGNC Symbol;Acc:HGNC:348]","ENTREZGENE,GENECARDS,HGNC,UNIPROT_GN,WIKIGENE"
"AJUBA","Q96IF1","AJUBA","ajuba LIM protein [Source:HGNC Symbol;Acc:HGNC:20250]","ENTREZGENE,GENECARDS,HGNC,UNIPROT_GN,WIKIGENE"
"AKAP8","O43823","AKAP8","A-kinase anchoring protein 8 [Source:HGNC Symbol;Acc:HGNC:378]","ENTREZGENE,GENECARDS,HGNC,UNIPROT_GN,WIKIGENE"
"AKNA","Q7Z591","AKNA","AT-hook transcription factor [Source:HGNC Symbol;Acc:HGNC:24108]","ENTREZGENE,GENECARDS,HGNC,UNIPROT_GN,WIKIGENE"
"AMBRA1","Q9C0C7","AMBRA1","autophagy and beclin 1 regulator 1 [Source:HGNC Symbol;Acc:HGNC:25990]","ENTREZGENE,GENECARDS,HGNC,UNIPROT_GN,WIKIGENE"
"ANAPC1","Q9H1A4","ANAPC1","anaphase promoting complex subunit 1 [Source:HGNC Symbol;Acc:HGNC:19988]","ENTREZGENE,GENECARDS,HGNC,UNIPROT_GN,WIKIGENE"
"ANAPC10","Q9UM13","ANAPC10","anaphase promoting complex subunit 10 [Source:HGNC Symbol;Acc:HGNC:24077]","ENTREZGENE,GENECARDS,HGNC,UNIPROT_GN,WIKIGENE"
"ANAPC11","Q9NYG5","ANAPC11","anaphase promoting complex subunit 11 [Source:HGNC Symbol;Acc:HGNC:14452]","ENTREZGENE,GENECARDS,HGNC,UNIPROT_GN,WIKIGENE"
"ANAPC13","Q9BS18","ANAPC13","anaphase promoting complex subunit 13 [Source:HGNC Symbol;Acc:HGNC:24540]","ENTREZGENE,GENECARDS,HGNC,UNIPROT_GN,WIKIGENE"
"ANAPC15","P60006","ANAPC15","anaphase promoting complex subunit 15 [Source:HGNC Symbol;Acc:HGNC:24531]","ENTREZGENE,GENECARDS,HGNC,UNIPROT_GN,WIKIGENE"
"ANAPC16","Q96DE5","ANAPC16","anaphase promoting complex subunit 16 [Source:HGNC Symbol;Acc:HGNC:26976]","ENTREZGENE,GENECARDS,HGNC,UNIPROT_GN,WIKIGENE"
"ANAPC2","Q9UJX6","ANAPC2","anaphase promoting complex subunit 2 [Source:HGNC Symbol;Acc:HGNC:19989]","ENTREZGENE,GENECARDS,HGNC,UNIPROT_GN,WIKIGENE"
"ANAPC4","Q9UJX5","ANAPC4","anaphase promoting complex subunit 4 [Source:HGNC Symbol;Acc:HGNC:19990]","ENTREZGENE,GENECARDS,HGNC,UNIPROT_GN,WIKIGENE"
"ANAPC5","Q9UJX4","ANAPC5","anaphase promoting complex subunit 5 [Source:HGNC Symbol;Acc:HGNC:15713]","ENTREZGENE,GENECARDS,HGNC,UNIPROT_GN,WIKIGENE"
"ANAPC7","Q9UJX3","ANAPC7","anaphase promoting complex subunit 7 [Source:HGNC Symbol;Acc:HGNC:17380]","ENTREZGENE,GENECARDS,HGNC,UNIPROT_GN,WIKIGENE"
"ANKLE2","Q86XL3","ANKLE2","ankyrin repeat and LEM domain containing 2 [Source:HGNC Symbol;Acc:HGNC:29101]","ENTREZGENE,GENECARDS,HGNC,UNIPROT_GN,WIKIGENE"
"ANKRD53","Q8N9V6","ANKRD53","ankyrin repeat domain 53 [Source:HGNC Symbol;Acc:HGNC:25691]","ENTREZGENE,GENECARDS,HGNC,UNIPROT_GN,WIKIGENE"
"APEX2","Q9UBZ4","APEX2","apurinic/apyrimidinic endodeoxyribonuclease 2 [Source:HGNC Symbol;Acc:HGNC:17889]","ENTREZGENE,GENECARDS,HGNC,UNIPROT_GN,WIKIGENE"
"APPL1","Q9UKG1","APPL1","adaptor protein, phosphotyrosine interacting with PH domain and leucine zipper 1 [Source:HGNC Symbol;Acc:HGNC:24035]","ENTREZGENE,GENECARDS,HGNC,UNIPROT_GN,WIKIGENE"
"APPL2","Q8NEU8","APPL2","adaptor protein, phosphotyrosine interacting with PH domain and leucine zipper 2 [Source:HGNC Symbol;Acc:HGNC:18242]","ENTREZGENE,GENECARDS,HGNC,UNIPROT_GN,WIKIGENE"
