"gene","uniprot","name","description","namespace"
"AADAT","Q8N5Z0","AADAT","aminoadipate aminotransferase [Source:HGNC Symbol;Acc:HGNC:17929]","ENTREZGENE,GENECARDS,HGNC,UNIPROT_GN,WIKIGENE"
"AARS1","P49588","AARS1","alanyl-tRNA synthetase 1 [Source:HGNC Symbol;Acc:HGNC:20]","ENTREZGENE,GENECARDS,HGNC,UNIPROT_GN,WIKIGENE"
"AARS2","Q5JTZ9","AARS2","alanyl-tRNA synthetase 2, mitochondrial [Source:HGNC Symbol;Acc:HGNC:21022]","ENTREZGENE,GENECARDS,HGNC,UNIPROT_GN,WIKIGENE"
"AASS","Q9UDR5","AASS","aminoadipate-semialdehyde synthase [Source:HGNC Symbol;Acc:HGNC:17366]","ENTREZGENE,GENECARDS,HGNC,UNIPROT_GN,WIKIGENE"
"ABAT","P80404","ABAT","4-aminobutyrate aminotransferase [Source:HGNC Symbol;Acc:HGNC:23]","ENTREZGENE,GENECARDS,HGNC,UNIPROT_GN,WIKIGENE"
"ABCB10","Q9NRK6","ABCB10","ATP binding cassette subfamily B member 10 [Source:HGNC Symbol;Acc:HGNC:41]","ENTREZGENE,GENECARDS,HGNC,UNIPROT_GN,WIKIGENE"
"ABCB6","Q9NP58","ABCB6","ATP binding cassette subfamily B member 6 (Langereis blood group) [Source:HGNC Symbol;Acc:HGNC:47]","ENTREZGENE,GENECARDS,HGNC,UNIPROT_GN,WIKIGENE"
"ABCB7","O75027","ABCB7","ATP binding cassette subfamily B member 7 [Source:HGNC Symbol;Acc:HGNC:48]","ENTREZGENE,GENECARDS,HGNC,UNIPROT_GN,WIKIGENE"
"ABCB8","Q9NUT2","ABCB8","ATP binding cassette subfamily B member 8 [Source:HGNC Symbol;Acc:HGNC:49]","ENTREZGENE,GENECARDS,HGNC,UNIPROT_GN,WIKIGENE"
"ABCC8","Q09428","ABCC8","ATP binding cassette subfamily C member 8 [Source:HGNC Symbol;Acc:HGNC:59]","ENTREZGENE,GENECARDS,HGNC,UNIPROT_GN,WIKIGENE"
"ABCD1","P33897","ABCD1","ATP binding cassette subfamily D member 1 [Source:HGNC Symbol;Acc:HGNC:61]","ENTREZGENE,GENECARDS,HGNC,UNIPROT_GN,WIKIGENE"
"ABCD3","P28288","ABCD3","ATP binding cassette subfamily D member 3 [Source:HGNC Symbol;Acc:HGNC:67]","ENTREZGENE,GENECARDS,HGNC,UNIPROT_GN,WIKIGENE"
"ABCE1","P61221","ABCE1","ATP binding cassette subfamily E member 1 [Source:HGNC Symbol;Acc:HGNC:69]","ENTREZGENE,GENECARDS,HGNC,UNIPROT_GN,WIKIGENE"
"ABCG1","P45844","ABCG1","ATP binding cassette subfamily G member 1 [Source:HGNC Symbol;Acc:HGNC:73]","ENTREZGENE,GENECARDS,HGNC,UNIPROT_GN,WIKIGENE"
"ABCG2","Q9UNQ0","ABCG2","ATP binding cassette subfamily G member 2 (Junior blood group) [Source:HGNC Symbol;Acc:HGNC:74]","ENTREZGENE,GENECARDS,HGNC,UNIPROT_GN,WIKIGENE"
"ABHD10","Q9NUJ1","ABHD10","abhydrolase domain containing 10, depalmitoylase [Source:HGNC Symbol;Acc:HGNC:25656]","ENTREZGENE,GENECARDS,HGNC,UNIPROT_GN,WIKIGENE"
"ABHD11","Q8NFV4","ABHD11","abhydrolase domain containing 11 [Source:HGNC Symbol;Acc:HGNC:16407]","ENTREZGENE,GENECARDS,HGNC,UNIPROT_GN,WIKIGENE"
"ABHD4","Q8TB40","ABHD4","abhydrolase domain containing 4, N-acyl phospholipase B [Source:HGNC Symbol;Acc:HGNC:20154]","ENTREZGENE,GENECARDS,HGNC,UNIPROT_GN,WIKIGENE"
"ABHD5","Q8WTS1","ABHD5","abhydrolase domain containing 5, lysophosphatidic acid acyltransferase [Source:HGNC Symbol;Acc:HGNC:21396]","ENTREZGENE,GENECARDS,HGNC,UNIPROT_GN,WIKIGENE"
"ABHD6","Q9BV23","ABHD6","abhydrolase domain containing 6, acylglycerol lipase [Source:HGNC Symbol;Acc:HGNC:21398]","ENTREZGENE,GENECARDS,HGNC,UNIPROT_GN,WIKIGENE"
"ABL1","P00519","ABL1","ABL proto-oncogene 1, non-receptor tyrosine kinase [Source:HGNC Symbol;Acc:HGNC:76]","ENTREZGENE,GENECARDS,HGNC,UNIPROT_GN,WIKIGENE"
"ACAA2","P42765","ACAA2","acetyl-CoA acyltransferase 2 [Source:HGNC Symbol;Acc:HGNC:83]","ENTREZGENE,GENECARDS,HGNC,UNIPROT_GN,WIKIGENE"
"ACACA","Q13085","ACACA","acetyl-CoA carboxylase alpha [Source:HGNC Symbol;Acc:HGNC:84]","ENTREZGENE,GENECARDS,HGNC,UNIPROT_GN,WIKIGENE"
"ACACB","O00763","ACACB","acetyl-CoA carboxylase beta [Source:HGNC Symbol;Acc:HGNC:85]","ENTREZGENE,GENECARDS,HGNC,UNIPROT_GN,WIKIGENE"
"ACAD10","Q6JQN1","ACAD10","acyl-CoA dehydrogenase family member 10 [Source:HGNC Symbol;Acc:HGNC:21597]","ENTREZGENE,GENECARDS,HGNC,UNIPROT_GN,WIKIGENE"
"ACAD11","Q709F0","ACAD11","acyl-CoA dehydrogenase family member 11 [Source:HGNC Symbol;Acc:HGNC:30211]","ENTREZGENE,GENECARDS,HGNC,UNIPROT_GN,WIKIGENE"
"ACAD8","Q9UKU7","ACAD8","acyl-CoA dehydrogenase family member 8 [Source:HGNC Symbol;Acc:HGNC:87]","ENTREZGENE,GENECARDS,HGNC,UNIPROT_GN,WIKIGENE"
"ACAD9","Q9H845","ACAD9","acyl-CoA dehydrogenase family member 9 [Source:HGNC Symbol;Acc:HGNC:21497]","ENTREZGENE,GENECARDS,HGNC,UNIPROT_GN,WIKIGENE"
