"gene","uniprot","name","description","namespace"
"PXMP4","Q9Y6I8","PXMP4","peroxisomal membrane protein 4 [Source:HGNC Symbol;Acc:HGNC:15920]","ENTREZGENE,GENECARDS,HGNC,UNIPROT_GN,WIKIGENE"
"EPHX2","P34913","EPHX2","epoxide hydrolase 2 [Source:HGNC Symbol;Acc:HGNC:3402]","ENTREZGENE,GENECARDS,HGNC,UNIPROT_GN,WIKIGENE"
"RIDA","P52758","RIDA","reactive intermediate imine deaminase A homolog [Source:HGNC Symbol;Acc:HGNC:16897]","ENTREZGENE,GENECARDS,HGNC,UNIPROT_GN,WIKIGENE"
"PECR","Q9BY49","PECR","peroxisomal trans-2-enoyl-CoA reductase [Source:HGNC Symbol;Acc:HGNC:18281]","ENTREZGENE,GENECARDS,HGNC,UNIPROT_GN,WIKIGENE"
"AOC1","P19801","AOC1","amine oxidase copper containing 1 [Source:HGNC Symbol;Acc:HGNC:80]","ENTREZGENE,GENECARDS,HGNC,UNIPROT_GN,WIKIGENE"
"ACAA1","P09110","ACAA1","acetyl-CoA acyltransferase 1 [Source:HGNC Symbol;Acc:HGNC:82]","ENTREZGENE,GENECARDS,HGNC,UNIPROT_GN,WIKIGENE"
"IMPDH2","P12268","IMPDH2","inosine monophosphate dehydrogenase 2 [Source:HGNC Symbol;Acc:HGNC:6053]","ENTREZGENE,GENECARDS,HGNC,UNIPROT_GN,WIKIGENE"
"MYO5A","Q9Y4I1","MYO5A","myosin VA [Source:HGNC Symbol;Acc:HGNC:7602]","ENTREZGENE,GENECARDS,HGNC,UNIPROT_GN,WIKIGENE"
"VWA8","A3KMH1","VWA8","von Willebrand factor A domain containing 8 [Source:HGNC Symbol;Acc:HGNC:29071]","ENTREZGENE,GENECARDS,HGNC,UNIPROT_GN,WIKIGENE"
"AMACR","Q9UHK6","AMACR","alpha-methylacyl-CoA racemase [Source:HGNC Symbol;Acc:HGNC:451]","ENTREZGENE,GENECARDS,HGNC,UNIPROT_GN,WIKIGENE"
"RAB8B","Q92930","RAB8B","RAB8B, member RAS oncogene family [Source:HGNC Symbol;Acc:HGNC:30273]","ENTREZGENE,GENECARDS,HGNC,UNIPROT_GN,WIKIGENE"
