,genes,descriptions,gene_ids,search_substring,search_domain,name,defn,id,n_genes,synonym,xref,comment,uniprot
0,A1CF,APOBEC1 complementation factor,29974,Endoplasmic reticulum,CC,endoplasmic reticulum,"['""The irregular network of unit membranes, visible only by electron microscopy, that occurs in the cytoplasm of many eukaryotic cells. The membranes form a complex meshwork of tubular channels, which are often expanded into slitlike cavities called cisternae. The ER takes two forms, rough (or granular), with ribosomes adhering to the outer surface, and smooth (with no ribosomes attached)."" [ISBN:0198506732]']",GO:0005783,[1163],[nan],"[{'Wikipedia:Endoplasmic_reticulum', 'NIF_Subcellular:sao1036339110'}]",[nan],Q9NQ94
1,AADAC,arylacetamide deacetylase,13,Endoplasmic reticulum,CC,endoplasmic reticulum membrane,"['""The lipid bilayer surrounding the endoplasmic reticulum."" [GOC:mah]']",GO:0005789,[1114],[nan],[nan],[nan],P22760
2,ABCA1,ATP binding cassette subfamily A member 1,19,Endoplasmic reticulum,CC,endoplasmic reticulum membrane,"['""The lipid bilayer surrounding the endoplasmic reticulum."" [GOC:mah]']",GO:0005789,[1114],[nan],[nan],[nan],O95477
3,ABCA4,ATP binding cassette subfamily A member 4,24,Endoplasmic reticulum,CC,endoplasmic reticulum,"['""The irregular network of unit membranes, visible only by electron microscopy, that occurs in the cytoplasm of many eukaryotic cells. The membranes form a complex meshwork of tubular channels, which are often expanded into slitlike cavities called cisternae. The ER takes two forms, rough (or granular), with ribosomes adhering to the outer surface, and smooth (with no ribosomes attached)."" [ISBN:0198506732]']",GO:0005783,[1163],[nan],"[{'Wikipedia:Endoplasmic_reticulum', 'NIF_Subcellular:sao1036339110'}]",[nan],P78363
4,ABCA7,ATP binding cassette subfamily A member 7,10347,Endoplasmic reticulum,CC,endoplasmic reticulum,"['""The irregular network of unit membranes, visible only by electron microscopy, that occurs in the cytoplasm of many eukaryotic cells. The membranes form a complex meshwork of tubular channels, which are often expanded into slitlike cavities called cisternae. The ER takes two forms, rough (or granular), with ribosomes adhering to the outer surface, and smooth (with no ribosomes attached)."" [ISBN:0198506732]']",GO:0005783,[1163],[nan],"[{'Wikipedia:Endoplasmic_reticulum', 'NIF_Subcellular:sao1036339110'}]",[nan],Q8IZY2
5,ABCA8,ATP binding cassette subfamily A member 8,10351,Endoplasmic reticulum,CC,endoplasmic reticulum,"['""The irregular network of unit membranes, visible only by electron microscopy, that occurs in the cytoplasm of many eukaryotic cells. The membranes form a complex meshwork of tubular channels, which are often expanded into slitlike cavities called cisternae. The ER takes two forms, rough (or granular), with ribosomes adhering to the outer surface, and smooth (with no ribosomes attached)."" [ISBN:0198506732]']",GO:0005783,[1163],[nan],"[{'Wikipedia:Endoplasmic_reticulum', 'NIF_Subcellular:sao1036339110'}]",[nan],O94911
6,ABCB6,ATP binding cassette subfamily B member 6 (Langereis blood group),10058,"Endoplasmic reticulum, Endoplasmic reticulum","CC, CC","endoplasmic reticulum, endoplasmic reticulum membrane","['""The irregular network of unit membranes, visible only by electron microscopy, that occurs in the cytoplasm of many eukaryotic cells. The membranes form a complex meshwork of tubular channels, which are often expanded into slitlike cavities called cisternae. The ER takes two forms, rough (or granular), with ribosomes adhering to the outer surface, and smooth (with no ribosomes attached)."" [ISBN:0198506732]', '""The lipid bilayer surrounding the endoplasmic reticulum."" [GOC:mah]']","GO:0005783, GO:0005789","[1163, 1114]","[nan, nan]","[{'Wikipedia:Endoplasmic_reticulum', 'NIF_Subcellular:sao1036339110'}, nan]","[nan, nan]",Q9NP58
7,ABCB9,ATP binding cassette subfamily B member 9,23457,Endoplasmic reticulum,CC,endoplasmic reticulum membrane,"['""The lipid bilayer surrounding the endoplasmic reticulum."" [GOC:mah]']",GO:0005789,[1114],[nan],[nan],[nan],Q9NP78
8,ABCC12,ATP binding cassette subfamily C member 12,94160,"Endoplasmic reticulum, Endoplasmic reticulum","CC, CC","endoplasmic reticulum, endoplasmic reticulum membrane","['""The irregular network of unit membranes, visible only by electron microscopy, that occurs in the cytoplasm of many eukaryotic cells. The membranes form a complex meshwork of tubular channels, which are often expanded into slitlike cavities called cisternae. The ER takes two forms, rough (or granular), with ribosomes adhering to the outer surface, and smooth (with no ribosomes attached)."" [ISBN:0198506732]', '""The lipid bilayer surrounding the endoplasmic reticulum."" [GOC:mah]']","GO:0005783, GO:0005789","[1163, 1114]","[nan, nan]","[{'Wikipedia:Endoplasmic_reticulum', 'NIF_Subcellular:sao1036339110'}, nan]","[nan, nan]",Q96J65
9,ABCC6,ATP binding cassette subfamily C member 6,368,Endoplasmic reticulum,CC,endoplasmic reticulum membrane,"['""The lipid bilayer surrounding the endoplasmic reticulum."" [GOC:mah]']",GO:0005789,[1114],[nan],[nan],[nan],O95255
10,ABCD1,ATP binding cassette subfamily D member 1,215,Endoplasmic reticulum,CC,endoplasmic reticulum membrane,"['""The lipid bilayer surrounding the endoplasmic reticulum."" [GOC:mah]']",GO:0005789,[1114],[nan],[nan],[nan],P33897
11,ABCD4,ATP binding cassette subfamily D member 4,5826,Endoplasmic reticulum,CC,endoplasmic reticulum membrane,"['""The lipid bilayer surrounding the endoplasmic reticulum."" [GOC:mah]']",GO:0005789,[1114],[nan],[nan],[nan],O14678
12,ABCG1,ATP binding cassette subfamily G member 1,9619,Endoplasmic reticulum,CC,endoplasmic reticulum membrane,"['""The lipid bilayer surrounding the endoplasmic reticulum."" [GOC:mah]']",GO:0005789,[1114],[nan],[nan],[nan],P45844
13,ABHD12,"abhydrolase domain containing 12, lysophospholipase",26090,Endoplasmic reticulum,CC,endoplasmic reticulum membrane,"['""The lipid bilayer surrounding the endoplasmic reticulum."" [GOC:mah]']",GO:0005789,[1114],[nan],[nan],[nan],Q8N2K0
14,ABHD12B,abhydrolase domain containing 12B,145447,Endoplasmic reticulum,CC,endoplasmic reticulum membrane,"['""The lipid bilayer surrounding the endoplasmic reticulum."" [GOC:mah]']",GO:0005789,[1114],[nan],[nan],[nan],Q7Z5M8
15,ABHD4,"abhydrolase domain containing 4, N-acyl phospholipase B",63874,Endoplasmic reticulum,CC,endoplasmic reticulum membrane,"['""The lipid bilayer surrounding the endoplasmic reticulum."" [GOC:mah]']",GO:0005789,[1114],[nan],[nan],[nan],Q8TB40
16,ABI1,abl interactor 1,10006,Endoplasmic reticulum,CC,endoplasmic reticulum,"['""The irregular network of unit membranes, visible only by electron microscopy, that occurs in the cytoplasm of many eukaryotic cells. The membranes form a complex meshwork of tubular channels, which are often expanded into slitlike cavities called cisternae. The ER takes two forms, rough (or granular), with ribosomes adhering to the outer surface, and smooth (with no ribosomes attached)."" [ISBN:0198506732]']",GO:0005783,[1163],[nan],"[{'Wikipedia:Endoplasmic_reticulum', 'NIF_Subcellular:sao1036339110'}]",[nan],Q8IZP0
17,ABL1,"ABL proto-oncogene 1, non-receptor tyrosine kinase",25,Endoplasmic reticulum,CC,endoplasmic reticulum,"['""The irregular network of unit membranes, visible only by electron microscopy, that occurs in the cytoplasm of many eukaryotic cells. The membranes form a complex meshwork of tubular channels, which are often expanded into slitlike cavities called cisternae. The ER takes two forms, rough (or granular), with ribosomes adhering to the outer surface, and smooth (with no ribosomes attached)."" [ISBN:0198506732]']",GO:0005783,[1163],[nan],"[{'Wikipedia:Endoplasmic_reticulum', 'NIF_Subcellular:sao1036339110'}]",[nan],P00519
18,ACAT1,acetyl-CoA acetyltransferase 1,38,Endoplasmic reticulum,CC,endoplasmic reticulum,"['""The irregular network of unit membranes, visible only by electron microscopy, that occurs in the cytoplasm of many eukaryotic cells. The membranes form a complex meshwork of tubular channels, which are often expanded into slitlike cavities called cisternae. The ER takes two forms, rough (or granular), with ribosomes adhering to the outer surface, and smooth (with no ribosomes attached)."" [ISBN:0198506732]']",GO:0005783,[1163],[nan],"[{'Wikipedia:Endoplasmic_reticulum', 'NIF_Subcellular:sao1036339110'}]",[nan],P24752
19,ACE2,angiotensin converting enzyme 2,59272,Endoplasmic reticulum,CC,endoplasmic reticulum lumen,"['""The volume enclosed by the membranes of the endoplasmic reticulum."" [ISBN:0198547684]']",GO:0005788,[313],"[[synonym(text='cisternal lumen', scope='EXACT', typename='', dbxrefs=set()), synonym(text='endoplasmic reticulum cisterna', scope='EXACT', typename='', dbxrefs=set()), synonym(text='ER cisterna', scope='EXACT', typename='', dbxrefs=set()), synonym(text='ER lumen', scope='EXACT', typename='', dbxrefs=set())]]",[nan],[nan],Q9BYF1
20,ACER1,alkaline ceramidase 1,125981,"Endoplasmic reticulum, Endoplasmic reticulum","CC, CC","endoplasmic reticulum, endoplasmic reticulum membrane","['""The irregular network of unit membranes, visible only by electron microscopy, that occurs in the cytoplasm of many eukaryotic cells. The membranes form a complex meshwork of tubular channels, which are often expanded into slitlike cavities called cisternae. The ER takes two forms, rough (or granular), with ribosomes adhering to the outer surface, and smooth (with no ribosomes attached)."" [ISBN:0198506732]', '""The lipid bilayer surrounding the endoplasmic reticulum."" [GOC:mah]']","GO:0005783, GO:0005789","[1163, 1114]","[nan, nan]","[{'Wikipedia:Endoplasmic_reticulum', 'NIF_Subcellular:sao1036339110'}, nan]","[nan, nan]",Q8TDN7
21,ACER3,alkaline ceramidase 3,55331,Endoplasmic reticulum,CC,endoplasmic reticulum membrane,"['""The lipid bilayer surrounding the endoplasmic reticulum."" [GOC:mah]']",GO:0005789,[1114],[nan],[nan],[nan],Q9NUN7
22,ACO1,aconitase 1,48,Endoplasmic reticulum,CC,endoplasmic reticulum,"['""The irregular network of unit membranes, visible only by electron microscopy, that occurs in the cytoplasm of many eukaryotic cells. The membranes form a complex meshwork of tubular channels, which are often expanded into slitlike cavities called cisternae. The ER takes two forms, rough (or granular), with ribosomes adhering to the outer surface, and smooth (with no ribosomes attached)."" [ISBN:0198506732]']",GO:0005783,[1163],[nan],"[{'Wikipedia:Endoplasmic_reticulum', 'NIF_Subcellular:sao1036339110'}]",[nan],P21399
23,ACSBG1,acyl-CoA synthetase bubblegum family member 1,23205,Endoplasmic reticulum,CC,endoplasmic reticulum,"['""The irregular network of unit membranes, visible only by electron microscopy, that occurs in the cytoplasm of many eukaryotic cells. The membranes form a complex meshwork of tubular channels, which are often expanded into slitlike cavities called cisternae. The ER takes two forms, rough (or granular), with ribosomes adhering to the outer surface, and smooth (with no ribosomes attached)."" [ISBN:0198506732]']",GO:0005783,[1163],[nan],"[{'Wikipedia:Endoplasmic_reticulum', 'NIF_Subcellular:sao1036339110'}]",[nan],Q96GR2
24,ACSL1,acyl-CoA synthetase long chain family member 1,2180,"Endoplasmic reticulum, Endoplasmic reticulum","CC, CC","endoplasmic reticulum, endoplasmic reticulum membrane","['""The irregular network of unit membranes, visible only by electron microscopy, that occurs in the cytoplasm of many eukaryotic cells. The membranes form a complex meshwork of tubular channels, which are often expanded into slitlike cavities called cisternae. The ER takes two forms, rough (or granular), with ribosomes adhering to the outer surface, and smooth (with no ribosomes attached)."" [ISBN:0198506732]', '""The lipid bilayer surrounding the endoplasmic reticulum."" [GOC:mah]']","GO:0005783, GO:0005789","[1163, 1114]","[nan, nan]","[{'Wikipedia:Endoplasmic_reticulum', 'NIF_Subcellular:sao1036339110'}, nan]","[nan, nan]",P33121
25,ACSL3,acyl-CoA synthetase long chain family member 3,2181,"Endoplasmic reticulum, Endoplasmic reticulum","CC, CC","endoplasmic reticulum, endoplasmic reticulum membrane","['""The irregular network of unit membranes, visible only by electron microscopy, that occurs in the cytoplasm of many eukaryotic cells. The membranes form a complex meshwork of tubular channels, which are often expanded into slitlike cavities called cisternae. The ER takes two forms, rough (or granular), with ribosomes adhering to the outer surface, and smooth (with no ribosomes attached)."" [ISBN:0198506732]', '""The lipid bilayer surrounding the endoplasmic reticulum."" [GOC:mah]']","GO:0005783, GO:0005789","[1163, 1114]","[nan, nan]","[{'Wikipedia:Endoplasmic_reticulum', 'NIF_Subcellular:sao1036339110'}, nan]","[nan, nan]",O95573
26,ACSL4,acyl-CoA synthetase long chain family member 4,2182,"Endoplasmic reticulum, Endoplasmic reticulum, Endoplasmic reticulum","CC, CC, CC","endoplasmic reticulum, mitochondria-associated endoplasmic reticulum membrane, endoplasmic reticulum membrane","['""The irregular network of unit membranes, visible only by electron microscopy, that occurs in the cytoplasm of many eukaryotic cells. The membranes form a complex meshwork of tubular channels, which are often expanded into slitlike cavities called cisternae. The ER takes two forms, rough (or granular), with ribosomes adhering to the outer surface, and smooth (with no ribosomes attached)."" [ISBN:0198506732]', '""A zone of apposition between endoplasmic-reticulum and mitochondrial membranes, structured by bridging complexes. These contact sites are thought to facilitate inter-organelle calcium and phospholipid exchange."" [GOC:jl, PMID:19556461, PMID:22078959, PMID:29626751, PMID:29684109]', '""The lipid bilayer surrounding the endoplasmic reticulum."" [GOC:mah]']","GO:0005783, GO:0044233, GO:0005789","[1163, 21, 1114]","[nan, [synonym(text='endoplasmic reticulum-mitochondrion membrane contact site', scope='EXACT', typename='', dbxrefs=set()), synonym(text='ER-mitochondrion membrane contact site', scope='EXACT', typename='', dbxrefs=set()), synonym(text='MAM', scope='RELATED', typename='', dbxrefs=set()), synonym(text='mitochondria-associated ER membrane', scope='EXACT', typename='', dbxrefs=set()), synonym(text='mitochondria-associated membrane', scope='EXACT', typename='', dbxrefs=set()), synonym(text='mitochondria-endoplasmic reticulum (ER) contact', scope='EXACT', typename='', dbxrefs={'PMID:29870872'})], nan]","[{'Wikipedia:Endoplasmic_reticulum', 'NIF_Subcellular:sao1036339110'}, nan, nan]","[nan, nan, nan]",O60488
27,ACSL5,acyl-CoA synthetase long chain family member 5,51703,"Endoplasmic reticulum, Endoplasmic reticulum","CC, CC","endoplasmic reticulum, endoplasmic reticulum membrane","['""The irregular network of unit membranes, visible only by electron microscopy, that occurs in the cytoplasm of many eukaryotic cells. The membranes form a complex meshwork of tubular channels, which are often expanded into slitlike cavities called cisternae. The ER takes two forms, rough (or granular), with ribosomes adhering to the outer surface, and smooth (with no ribosomes attached)."" [ISBN:0198506732]', '""The lipid bilayer surrounding the endoplasmic reticulum."" [GOC:mah]']","GO:0005783, GO:0005789","[1163, 1114]","[nan, nan]","[{'Wikipedia:Endoplasmic_reticulum', 'NIF_Subcellular:sao1036339110'}, nan]","[nan, nan]",Q9ULC5
28,ACSL6,acyl-CoA synthetase long chain family member 6,23305,"Endoplasmic reticulum, Endoplasmic reticulum","CC, CC","endoplasmic reticulum, endoplasmic reticulum membrane","['""The irregular network of unit membranes, visible only by electron microscopy, that occurs in the cytoplasm of many eukaryotic cells. The membranes form a complex meshwork of tubular channels, which are often expanded into slitlike cavities called cisternae. The ER takes two forms, rough (or granular), with ribosomes adhering to the outer surface, and smooth (with no ribosomes attached)."" [ISBN:0198506732]', '""The lipid bilayer surrounding the endoplasmic reticulum."" [GOC:mah]']","GO:0005783, GO:0005789","[1163, 1114]","[nan, nan]","[{'Wikipedia:Endoplasmic_reticulum', 'NIF_Subcellular:sao1036339110'}, nan]","[nan, nan]",Q9UKU0
29,ADAM10,ADAM metallopeptidase domain 10,102,"Endoplasmic reticulum, Endoplasmic reticulum","CC, CC","endoplasmic reticulum lumen, perinuclear endoplasmic reticulum","['""The volume enclosed by the membranes of the endoplasmic reticulum."" [ISBN:0198547684]', '""The portion of endoplasmic reticulum, the intracellular network of tubules and cisternae, that occurs near the nucleus. The lumen of the perinuclear endoplasmic reticulum is contiguous with the nuclear envelope lumen (also called perinuclear space), the region between the inner and outer nuclear membranes."" [GOC:bf, GOC:mah, GOC:mcc, GOC:pr, GOC:vw]']","GO:0005788, GO:0097038","[313, 18]","[[synonym(text='cisternal lumen', scope='EXACT', typename='', dbxrefs=set()), synonym(text='endoplasmic reticulum cisterna', scope='EXACT', typename='', dbxrefs=set()), synonym(text='ER cisterna', scope='EXACT', typename='', dbxrefs=set()), synonym(text='ER lumen', scope='EXACT', typename='', dbxrefs=set())], nan]","[nan, nan]","[nan, nan]",O14672
30,ADAM17,ADAM metallopeptidase domain 17,6868,Endoplasmic reticulum,CC,endoplasmic reticulum lumen,"['""The volume enclosed by the membranes of the endoplasmic reticulum."" [ISBN:0198547684]']",GO:0005788,[313],"[[synonym(text='cisternal lumen', scope='EXACT', typename='', dbxrefs=set()), synonym(text='endoplasmic reticulum cisterna', scope='EXACT', typename='', dbxrefs=set()), synonym(text='ER cisterna', scope='EXACT', typename='', dbxrefs=set()), synonym(text='ER lumen', scope='EXACT', typename='', dbxrefs=set())]]",[nan],[nan],P78536
31,ADAMTS13,ADAM metallopeptidase with thrombospondin type 1 motif 13,11093,Endoplasmic reticulum,CC,endoplasmic reticulum lumen,"['""The volume enclosed by the membranes of the endoplasmic reticulum."" [ISBN:0198547684]']",GO:0005788,[313],"[[synonym(text='cisternal lumen', scope='EXACT', typename='', dbxrefs=set()), synonym(text='endoplasmic reticulum cisterna', scope='EXACT', typename='', dbxrefs=set()), synonym(text='ER cisterna', scope='EXACT', typename='', dbxrefs=set()), synonym(text='ER lumen', scope='EXACT', typename='', dbxrefs=set())]]",[nan],[nan],Q76LX8
32,ADAMTS5,ADAM metallopeptidase with thrombospondin type 1 motif 5,11096,Endoplasmic reticulum,CC,endoplasmic reticulum lumen,"['""The volume enclosed by the membranes of the endoplasmic reticulum."" [ISBN:0198547684]']",GO:0005788,[313],"[[synonym(text='cisternal lumen', scope='EXACT', typename='', dbxrefs=set()), synonym(text='endoplasmic reticulum cisterna', scope='EXACT', typename='', dbxrefs=set()), synonym(text='ER cisterna', scope='EXACT', typename='', dbxrefs=set()), synonym(text='ER lumen', scope='EXACT', typename='', dbxrefs=set())]]",[nan],[nan],Q9UNA0
33,ADAMTS7,ADAM metallopeptidase with thrombospondin type 1 motif 7,11173,Endoplasmic reticulum,CC,endoplasmic reticulum lumen,"['""The volume enclosed by the membranes of the endoplasmic reticulum."" [ISBN:0198547684]']",GO:0005788,[313],"[[synonym(text='cisternal lumen', scope='EXACT', typename='', dbxrefs=set()), synonym(text='endoplasmic reticulum cisterna', scope='EXACT', typename='', dbxrefs=set()), synonym(text='ER cisterna', scope='EXACT', typename='', dbxrefs=set()), synonym(text='ER lumen', scope='EXACT', typename='', dbxrefs=set())]]",[nan],[nan],Q9UKP4
34,ADAMTS9,ADAM metallopeptidase with thrombospondin type 1 motif 9,56999,Endoplasmic reticulum,CC,endoplasmic reticulum,"['""The irregular network of unit membranes, visible only by electron microscopy, that occurs in the cytoplasm of many eukaryotic cells. The membranes form a complex meshwork of tubular channels, which are often expanded into slitlike cavities called cisternae. The ER takes two forms, rough (or granular), with ribosomes adhering to the outer surface, and smooth (with no ribosomes attached)."" [ISBN:0198506732]']",GO:0005783,[1163],[nan],"[{'Wikipedia:Endoplasmic_reticulum', 'NIF_Subcellular:sao1036339110'}]",[nan],Q9P2N4
35,ADAMTSL1,ADAMTS like 1,92949,Endoplasmic reticulum,CC,endoplasmic reticulum lumen,"['""The volume enclosed by the membranes of the endoplasmic reticulum."" [ISBN:0198547684]']",GO:0005788,[313],"[[synonym(text='cisternal lumen', scope='EXACT', typename='', dbxrefs=set()), synonym(text='endoplasmic reticulum cisterna', scope='EXACT', typename='', dbxrefs=set()), synonym(text='ER cisterna', scope='EXACT', typename='', dbxrefs=set()), synonym(text='ER lumen', scope='EXACT', typename='', dbxrefs=set())]]",[nan],[nan],Q8N6G6
36,ADAMTSL4,ADAMTS like 4,54507,Endoplasmic reticulum,CC,endoplasmic reticulum lumen,"['""The volume enclosed by the membranes of the endoplasmic reticulum."" [ISBN:0198547684]']",GO:0005788,[313],"[[synonym(text='cisternal lumen', scope='EXACT', typename='', dbxrefs=set()), synonym(text='endoplasmic reticulum cisterna', scope='EXACT', typename='', dbxrefs=set()), synonym(text='ER cisterna', scope='EXACT', typename='', dbxrefs=set()), synonym(text='ER lumen', scope='EXACT', typename='', dbxrefs=set())]]",[nan],[nan],Q6UY14
37,ADCYAP1R1,ADCYAP receptor type I,117,"Endoplasmic reticulum, Endoplasmic reticulum","CC, CC","endoplasmic reticulum, rough endoplasmic reticulum","['""The irregular network of unit membranes, visible only by electron microscopy, that occurs in the cytoplasm of many eukaryotic cells. The membranes form a complex meshwork of tubular channels, which are often expanded into slitlike cavities called cisternae. The ER takes two forms, rough (or granular), with ribosomes adhering to the outer surface, and smooth (with no ribosomes attached)."" [ISBN:0198506732]', '""The rough (or granular) endoplasmic reticulum (ER) has ribosomes adhering to the outer surface; the ribosomes are the site of translation of the mRNA for those proteins which are either to be retained within the cisternae (ER-resident proteins), the proteins of the lysosomes, or the proteins destined for export from the cell. Glycoproteins undergo their initial glycosylation within the cisternae."" [ISBN:0198506732]']","GO:0005783, GO:0005791","[1163, 58]","[nan, [synonym(text='RER', scope='EXACT', typename='', dbxrefs=set()), synonym(text='rough ER', scope='EXACT', typename='', dbxrefs=set())]]","[{'Wikipedia:Endoplasmic_reticulum', 'NIF_Subcellular:sao1036339110'}, {'NIF_Subcellular:sao1881364067', 'Wikipedia:Endoplasmic_reticulum#Rough_endoplasmic_reticulum'}]","[nan, nan]",P41586
38,ADGRG6,adhesion G protein-coupled receptor G6,57211,Endoplasmic reticulum,CC,endoplasmic reticulum membrane,"['""The lipid bilayer surrounding the endoplasmic reticulum."" [GOC:mah]']",GO:0005789,[1114],[nan],[nan],[nan],Q86SQ4
39,ADIPOQ,"adiponectin, C1Q and collagen domain containing",9370,Endoplasmic reticulum,CC,endoplasmic reticulum,"['""The irregular network of unit membranes, visible only by electron microscopy, that occurs in the cytoplasm of many eukaryotic cells. The membranes form a complex meshwork of tubular channels, which are often expanded into slitlike cavities called cisternae. The ER takes two forms, rough (or granular), with ribosomes adhering to the outer surface, and smooth (with no ribosomes attached)."" [ISBN:0198506732]']",GO:0005783,[1163],[nan],"[{'Wikipedia:Endoplasmic_reticulum', 'NIF_Subcellular:sao1036339110'}]",[nan],Q15848
40,ADORA1,adenosine A1 receptor,134,Endoplasmic reticulum,CC,endoplasmic reticulum,"['""The irregular network of unit membranes, visible only by electron microscopy, that occurs in the cytoplasm of many eukaryotic cells. The membranes form a complex meshwork of tubular channels, which are often expanded into slitlike cavities called cisternae. The ER takes two forms, rough (or granular), with ribosomes adhering to the outer surface, and smooth (with no ribosomes attached)."" [ISBN:0198506732]']",GO:0005783,[1163],[nan],"[{'Wikipedia:Endoplasmic_reticulum', 'NIF_Subcellular:sao1036339110'}]",[nan],P30542
41,ADPGK,ADP dependent glucokinase,83440,"Endoplasmic reticulum, Endoplasmic reticulum","CC, CC","endoplasmic reticulum, endoplasmic reticulum membrane","['""The irregular network of unit membranes, visible only by electron microscopy, that occurs in the cytoplasm of many eukaryotic cells. The membranes form a complex meshwork of tubular channels, which are often expanded into slitlike cavities called cisternae. The ER takes two forms, rough (or granular), with ribosomes adhering to the outer surface, and smooth (with no ribosomes attached)."" [ISBN:0198506732]', '""The lipid bilayer surrounding the endoplasmic reticulum."" [GOC:mah]']","GO:0005783, GO:0005789","[1163, 1114]","[nan, nan]","[{'Wikipedia:Endoplasmic_reticulum', 'NIF_Subcellular:sao1036339110'}, nan]","[nan, nan]",Q9BRR6
42,AFP,alpha fetoprotein,174,Endoplasmic reticulum,CC,endoplasmic reticulum lumen,"['""The volume enclosed by the membranes of the endoplasmic reticulum."" [ISBN:0198547684]']",GO:0005788,[313],"[[synonym(text='cisternal lumen', scope='EXACT', typename='', dbxrefs=set()), synonym(text='endoplasmic reticulum cisterna', scope='EXACT', typename='', dbxrefs=set()), synonym(text='ER cisterna', scope='EXACT', typename='', dbxrefs=set()), synonym(text='ER lumen', scope='EXACT', typename='', dbxrefs=set())]]",[nan],[nan],P02771
43,AGA,aspartylglucosaminidase,175,Endoplasmic reticulum,CC,endoplasmic reticulum,"['""The irregular network of unit membranes, visible only by electron microscopy, that occurs in the cytoplasm of many eukaryotic cells. The membranes form a complex meshwork of tubular channels, which are often expanded into slitlike cavities called cisternae. The ER takes two forms, rough (or granular), with ribosomes adhering to the outer surface, and smooth (with no ribosomes attached)."" [ISBN:0198506732]']",GO:0005783,[1163],[nan],"[{'Wikipedia:Endoplasmic_reticulum', 'NIF_Subcellular:sao1036339110'}]",[nan],P20933
44,AGL,"amylo-alpha-1, 6-glucosidase, 4-alpha-glucanotransferase",178,Endoplasmic reticulum,CC,endoplasmic reticulum,"['""The irregular network of unit membranes, visible only by electron microscopy, that occurs in the cytoplasm of many eukaryotic cells. The membranes form a complex meshwork of tubular channels, which are often expanded into slitlike cavities called cisternae. The ER takes two forms, rough (or granular), with ribosomes adhering to the outer surface, and smooth (with no ribosomes attached)."" [ISBN:0198506732]']",GO:0005783,[1163],[nan],"[{'Wikipedia:Endoplasmic_reticulum', 'NIF_Subcellular:sao1036339110'}]",[nan],P35573
45,AGMO,alkylglycerol monooxygenase,392636,"Endoplasmic reticulum, Endoplasmic reticulum","CC, CC","endoplasmic reticulum, endoplasmic reticulum membrane","['""The irregular network of unit membranes, visible only by electron microscopy, that occurs in the cytoplasm of many eukaryotic cells. The membranes form a complex meshwork of tubular channels, which are often expanded into slitlike cavities called cisternae. The ER takes two forms, rough (or granular), with ribosomes adhering to the outer surface, and smooth (with no ribosomes attached)."" [ISBN:0198506732]', '""The lipid bilayer surrounding the endoplasmic reticulum."" [GOC:mah]']","GO:0005783, GO:0005789","[1163, 1114]","[nan, nan]","[{'Wikipedia:Endoplasmic_reticulum', 'NIF_Subcellular:sao1036339110'}, nan]","[nan, nan]",Q6ZNB7
